AC_Name	VALUE	Constituency_No	Constituency_Name
Pulakeshinagar (SC)	1	159	Pulakeshinagar
Puttur	1	206	Puttur
Raichur	1	54	Raichur
Raichur Rural (ST)	1	53	Raichur Rural
Rajaji Nagar	1	165	Rajaji Nagar
Rajarajeshwarinagar	1	154	Rajarajeshwarinagar
Ramanagaram	1	183	Ramanagaram
Ramdurg	1	18	Ramdurg
Ranibennur	1	87	Ranibennur
Raybag (SC)	1	6	Raybag
Ron	1	67	Ron
Sagar	1	117	Sagar
Sakleshpur (SC)	1	199	Sakleshpur
Sandur (ST)	1	95	Sandur
Sarvagnanagar	1	160	Sarvagnanagar
Saundatti Yellamma	1	17	Saundatti Yellamma
Sedam	1	41	Sedam
Shahapur	1	37	Shahapur
Shanti Nagar	1	163	Shanti Nagar
Shiggaon	1	83	Shiggaon
Shikaripura	1	115	Shikaripura
Shimoga	1	113	Shimoga
Shimoga Rural (SC)	1	111	Shimoga Rural
Shirahatti (SC)	1	65	Shirahatti
Shivajinagar	1	162	Shivajinagar
Shorapur (ST)	1	36	Shorapur
Shravanabelagola	1	193	Shravanabelagola
Shrirangapattana	1	190	Srirangapatna
Sidlaghatta	1	142	Sidlaghatta
Sindgi	1	33	Sindgi
Sindhanur	1	58	Sindhanur
Sira	1	136	Sira
Sirsi	1	80	Sirsi
Siruguppa (ST)	1	92	Siruguppa
Sorab	1	116	Sorab
Sringeri	1	123	Sringeri
Srinivaspur	1	144	Srinivaspur
Sullia (SC)	1	207	Sullia
T.narasipur (SC)	1	220	T.Narasipur
Tarikere	1	126	Tarikere
Terdal	1	20	Terdal
Tiptur	1	129	Tiptur
Tirthahalli	1	114	Tirthahalli
Tumkur City	1	132	Tumkur City
Tumkur Rural	1	133	Tumkur Rural
Turuvekere	1	130	Turuvekere
Udupi	1	120	Udupi
Varuna	1	219	Varuna
Vijay Nagar	1	167	Vijay Nagar
Vijayanagara	1	90	Vijayanagara
Virajpet	1	209	Virajpet
Yadgir	1	38	Yadgir
Yelahanka	1	150	Yelahanka
Yelburga	1	63	Yelburga
Yellapur	1	81	Yellapur
Yemkanmardi (ST)	1	10	Yemkanmardi
Yeshvanthapura	1	153	Yeshvanthapura
